uid,offence,date,jail,mode,conditions,fine,appeal
2024abcj138_230270464P1_3,cc_163.1(3),2021-02-21,2y,jail-consecutive,10y-ltso,,
2024abcj138_230270464P1_4,cc_172.1,2021-02-21,2y5m2d,jail-consecutive,10y-ltso,,
2024abcj137_210825824P1_1,cc_271#a,2019-12-01&2019-12-31,18m,jail-consecutive,2y-probation,,
2024abcj134_221066145P1_1,cc_151,2023-10-01&2023-10-31,6m,cso-consecutive,18m-probation,,
2024abcj131_220707111P1_1,cc_271#a,2022-04-26,,,18m-probation,,
2024abcj118_220358600P1_1,cc_138,2012-08-29,,,0d-discharge,,
2024abcj119_221149941P1_1,cc_151,2021-06-21&2022-02-28,4y6m3d,jail-consecutive,,,
2024abcj110_210859310P1_1,cc_344(1)(b),2021-05-22,indeterminate,jail-consecutive,,,
2024abcj110_210859310P1_2,cc_88,2021-05-22,5y,jail-concurrent,,,
2024abcj105_200984375P1_1,cc_267(b),2020-03-01&2020-07-14,90d,jail-intermittent,30m-probation,,
2024abcj98_211088216P1_1,cc_271#a,2021-08-18,,,3y-discharge,,
2024abcj96_221220932P1_1,cc_266,2022-09-15&2022-09-30,,,3y-probation,,
2024abcj79_220549703P1_1,cc_445.1,2022-05-15,6m,cso-consecutive,12m-probation,,
2024abcj79_220958037P1_1,cc_266,2022-09-20,,,,$1000,
2024abcj79_220958037P1_2,cc_127,2022-09-20,,,,$200,
2024abcj78_211043088P1_1,cc_145(5),2021-10-24,3y6m3d,jail-consecutive,,,
2024abcj78_211043088P1_2,cc_145(5),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_3,cc_145(5),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_4,cc_145(5),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_5,cc_145(5),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_6,cc_145(5),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_7,cc_145(5),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_8,cc_145(5),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_9,cc_145(5),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_10,cc_351(1),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_11,cc_348(1)(d),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_12,cc_346(1.1)(b),2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj78_211043088P1_13,cc_423,2021-10-24,3y6m3d,jail-concurrent,,,
2024abcj74_220227987P1_1,cc_117.01,2024-03-22,1y,jail-consecutive,,,
2024abcj74_220227987P1_2,cc_86(1),2024-03-22,1y,jail-concurrent,,,
2024abcj74_220227987P1_3,cc_88,2024-03-22,6m,jail-concurrent,,,
2024abcj74_220227987P1_4,cc_90,2024-03-22,6m,jail-concurrent,,,
2024abcj74_220227987P1_5,cc_91(1),2024-03-22,1y,jail-consecutive,,,
2024abcj74_220227987P1_6,cc_94,2024-03-22,1y,jail-consecutive,,,
2024abcj74_220227987P1_7,cc_145(5),2024-03-22,6m,jail-concurrent,,,
2024abcj74_220227987P1_8,cc_145(5),2024-03-22,6m,jail-concurrent,,,
2024abcj74_220227987P1_9,cc_145(5),2024-03-22,6m,jail-concurrent,,,
2024abcj74_220227987P1_10,cc_95,2024-03-22,5y,jail-consecutive,,,
2024abcj74_220227987P1_11,cdsa_4(1),2024-03-22,20d,jail-concurrent,,,
2024abcj74_220227987P1_12,cdsa_4(1),2024-03-22,30d,jail-concurrent,,,
2024abcj74_220227987P1_13,cdsa_4(1),2024-03-22,40d,jail-concurrent,,,
2024abcj65_220809743P1_1,cc_267(b),2022-04-30,,,24m-discharge,,
2024abcj65_220809743P1_2,cc_266,2022-04-30,,,24m-discharge,,
2024abcj44_220905509P1_1,cdsa_5(1),2024-03-04,6y,jail-consecutive,,,
2024abcj44_220905509P1_2,cdsa_5(1),2024-03-04,6y,jail-concurrent,,,
2024abcj44_220905509P1_3,cdsa_5(1),2024-03-04,3y,jail-concurrent,,,
2024abcj44_220905509P1_4,cc_355(b),2024-03-04,30d,jail-concurrent,,,
2024abcj44_220905509P1_5,cc_355(b),2024-03-04,30d,jail-concurrent,,,
2024abcj44_220905509P1_6,cc_145(5),2024-03-04,5d,jail-concurrent,,,
2024abcj44_220905509P1_7,cc_145(5),2024-03-04,5d,jail-concurrent,,,
2024abcj54_220758148P1_1,cc_151,2021-10-19&2022-08-04,729d,jail-consecutive,3y-probation,,
2024abcj53_220552673P1_1,cc_151,2014-01-01&2019-12-31,6y,jail-consecutive,,,
2024abcj52_210766994P1_1,cc_162(1),2017-10-18&2021-06-05,18m,jail-consecutive,2y-probation,,
2024abcj52_210766994P1_2,cc_162(1),2017-10-18&2021-06-05,18m,jail-concurrent,2y-probation,,
2024abcj50_210128518P1_1,cc_271#a,2024-02-23,729d,cso-consecutive,,,
2024abcj45_220274732P1_1,cc_215,2022-01-04&2022-02-27,24m,cso-consecutive,12m-probation,,
2024abcj45_220274732P1_2,cc_264.1(1)(a),2022-02-28,24m,cso-consecutive,12m-probation,,
2024abcj36_221063126P1_1,cc_268,2022-05-23&2022-05-24,5y,jail-consecutive,,,
2024abcj36_221063126P1_2,cc_333.1(1)#1,2022-05-23&2022-05-24,3y,jail-concurrent,,,
2024abcj22_210961447P1_1,cc_271#a,2024-02-01,3y6m3d,jail-consecutive,,,
2024abcj17_220919294P1_1,cc_433,2022-05-18,7y,jail-consecutive,,,
2024abcj17_220919294P1_2,cc_433,2022-06-04,7y,jail-concurrent,,,
2024abcj17_220919294P1_3,cc_342(1),2022-06-03,3m,jail-concurrent,,,
2024abcj17_190553412P1_1,cc_355(a),2019-05-03,30d,jail-consecutive,,,
2024abcj17_190634329P1_1,cc_355(b),2019-05-08,30d,jail-consecutive,,,
2024abcj17_190771097P1_1,cc_145(5),2024-01-19,15d,jail-concurrent,,,
2024abcj30_221005853P1_1,cc_267(b),2021-10-22&2022-07-03,6m,jail-consecutive,18m-probation,,
2024abcj13_220117543P1_1,cc_163.1(4),2021-09-14&2021-12-18,1y,jail-consecutive,2y-probation,,
2024abcj13_220117543P1_1,cc_163.1(3),2021-09-14&2021-12-18,1y,jail-consecutive,2y-probation,,
2024abcj12_220305965Y1_1,cc_163.1(2)_ycja,2024-01-11,,,14m-discharge,,
2024abcj7_221066798P1_1,cc_271#b,1984-01-01&2013-12-31,3y,jail-consecutive,,,
2024abcj7_221066798P1_2,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_3,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_4,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_5,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_6,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_7,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_8,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_9,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_10,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_11,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_12,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_13,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_14,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_15,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_16,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_17,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_18,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_19,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_20,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_21,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_22,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_23,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_24,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_25,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_26,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj7_221066798P1_27,cc_271#b,1984-01-01&2013-12-31,3y,jail-concurrent,,,
2024abcj6_221138688P1_1,cc_101,2021-10-06&2021-12-10,18m,jail-consecutive,2y-probation,,
2024abcj2_211219142P1_1,cc_271#a,2024-01-04,,,3y-discharge,,
2024abcj1_221121270P1_1,cc_266,2022-08-26,,,24m-discharge,,
2024abcj1_221121270P1_2,cc_266,2022-08-26,,,24m-discharge,,
