uid,offence,date,jail,mode,conditions,fine,appeal
2024mbpc82_3,cc_271#a,2007-09-01&2008-06-30,1y&6m&3d,jail-consecutive,,,
2024mbpc82_4,cc_271#a,2008-04-01&2011-11-30,2y,jail-consecutive,,,
2024mbpc82_5,cc_271#a,2006-03-01&2008-06-30,1y,jail-consecutive,,,
2024mbpc82_6,cc_271#a,2003-09-01&2006-06-30,2y&6m&3d,jail-consecutive,,,
2024mbpc82_7,cc_271#b,2007-09-01&2008-01-31,2y,jail-consecutive,,,
2024mbpc82_8,cc_271#a,2005-07-01&2008-08-31,1y,jail-consecutive,,,
2024mbpc82_9,cc_271#a,2012-09-01&2016-08-31,2y,jail-consecutive,,,
2024mbpc82_10,cc_172.1,2003-09-01&2008-06-18,4y,jail-consecutive,,,
2024mbpc82_11,cc_172.1,2007-09-01&2012-09-16,4y,jail-concurrent,,,
2024mbpc78_1,cdsa_5(2),2021-11-04,729d,cso-consecutive,3y-probation,,
2024mbpc75_1,cc_348(1)(d),2023-03-19,10y,jail-consecutive,,,
2024mbpc75_2,cc_268,2023-03-19,10y,jail-concurrent,,,
2024mbpc75_3,cc_733.1,2023-03-19,1y,jail-concurrent,,,
2024mbpc73_1,cc_239(1)(b),2022-08-15,8y,jail-consecutive,,,
2024mbpc73_2,cc_88,2022-08-15,6m,jail-concurrent,,,
2024mbpc73_3,cc_91(1),2022-08-15,1y,jail-concurrent,,,
2024mbpc73_4,cc_86(1),2022-08-15,1y,jail-concurrent,,,
2024mbpc70_1,cc_151,2015-04-01&2015-11-30,5y,jail-consecutive,,,
2024mbpc70_2,cc_271,2015-04-01&2015-11-30,5y,jail-concurrent,,,
2024mbpc90_1,cc_87,2022-07-07,3y,jail-concurrent,,,
2024mbpc90_2,cc_94,2022-07-07,3y,jail-concurrent,,,
2024mbpc90_3,cc_244.2(3)(b),2022-07-07,6y,jail-consecutive,,,
2024mbpc67_1,cc_172.1,2022-07-31,21m,jail-consecutive,2y-probation,,
2024mbpc66_1,cc_244(2)(b),2023-12-14,8y,jail-consecutive,,,
2024mbpc66_2,cc_117.01,2023-12-14,1y,jail-consecutive,,,
2024mbpc66_3,cc_320.17,2023-12-15,1y,jail-consecutive,,,
2024mbpc63_1,cc_348(1)(e),2022-06-06,729d,jail-consecutive,1y-probation,,
2024mbpc60_1,cc_95,2022-05-04,4y&6m&3d,jail-consecutive,,,
2024mbpc60_2,cc_117.01,2022-05-04,1y,jail-consecutive,,,
2024mbpc60_3,cc_117.01,2022-05-04,1y,jail-concurrent,,,
2024mbpc59_1,cc_348(1)(d),2023-09-24,5y,jail-consecutive,,,
2024mbpc59_2,cc_348(1)(d),2023-09-25,5y,jail-concurrent,,,
2024mbpc59_3,cc_430(3),2023-09-25,1y,jail-concurrent,,,
2024mbpc58_1,cc_268_ycja,2022-08-07,12m,jail-consecutive,6m-probation,,
2024mbpc55_1,cc_271#a,2022-11-16,30m,jail-consecutive,,,
2024mbpc52_1,cc_268,2022-08-07,12m,jail-consecutive,6m-probation,,
2024mbpc48_1,cdsa_5(2),2022-09-01&2022-09-30,13y,jail-consecutive,,,
2024mbpc48_2,cdsa_5(2),2022-09-01&2022-09-30,9y,jail-concurrent,,,
2024mbpc44_1,cc_434,2022-12-08,2y,jail-consecutive,,,
2024mbpc38_1,cdsa_5(2),2022-05-01,729d,cso-consecutive,,,
2024mbpc38_2,cc_88,2022-05-01,60d,cso-concurrent,,,
2024mbpc37_1,cc_239(1)(b),2023-03-13,13y,jail-consecutive,,,
2024mbpc30_1,cc_163.1(4),2020-01-24,729d,jail-consecutive,2y-probation,,
2024mbpc23_1,cc_344(1)(a)#1,2024-03-20,25m,jail-consecutive,,,
2024mbpc23_2,cc_85(2),2024-03-20,1y,jail-concurrent,,,
2024mbpc23_3,cc_355(b),2024-03-20,6m,jail-concurrent,,,
2024mbpc23_4,cc_145(5),2024-03-20,30d,jail-concurrent,,,
2024mbpc23_5,cc_145(5),2024-03-20,30d,jail-concurrent,,,
2024mbpc23_6,cc_264.1(1)(a),2024-03-20,30d,jail-concurrent,,,
2024canlii18659_1,cc_271#a,2021-04-16,9m,jail-consecutive,2y-probation,,
2024mbpc19_1,cdsa_5(2),2023-09-22,13y,jail-consecutive,,,
2024mbpc19_2,cc_92(1),2023-09-22,3y,jail-concurrent,,,
2024mbpc19_3,cc_92(2),2023-09-22,3y,jail-concurrent,,,
2024mbpc19_4,cc_95,2023-09-22,5y,jail-concurrent,,,
2024mbpc19_5,cc_94,2023-09-22,1y,jail-concurrent,,,
2024mbpc19_6,cc_92(1),2023-09-22,3y,jail-concurrent,,,
2024mbpc19_7,cc_117.01,2023-09-22,1y,jail-concurrent,,,
2024mbpc19_8,cc_117.01,2023-09-22,1y,jail-concurrent,,,
2024mbpc15_1,cc_99(2)#1,2019-04-08&2022-07-13,3y,jail-consecutive,,,
2024mbpc14_1,cc_267(b),2021-06-04,12m,jail-consecutive,18m-probation,,
2024mbpc11_1,cc_151,2024-01-25,7y,jail-consecutive,,,
2024mbpc10_1,cc_151,2024-01-25,7y,jail-consecutive,,,
2024mbpc4_1,cc_236(b),2021-07-16,7y,jail-consecutive,,,
2023canlii148567_1,cc_172.1,2018-06-02&2018-06-04,18m,jail-consecutive,18m-probation,,
2023mbpc71_1,cc_95,2021-04-05,4y,jail-consecutive,,,
2023mbpc71_2,cc_117.01,2021-04-05,1y,jail-concurrent,,,
2023mbpc71_3,cdsa_5(2),2021-04-05,18m,jail-concurrent,,,
2023mbpc71_4,cc_145(5),2021-04-05,1m,jail-concurrent,,,
2023mbpc68_1,cc_279(1.1)(b),2022-08-03,4y,jail-consecutive,,,
2023mbpc68_2,cc_268,2022-08-03,4y,jail-consecutive,,,
2023mbpc68_3,cc_267(b),2022-08-03,1y,jail-concurrent,,,
2023mbpc68_4,cc_348(1)(d),2022-08-03,1y,jail-concurrent,,,
2023mbpc68_5,cc_264.1(1)(a),2022-08-03,1y,jail-concurrent,,
2023mbpc68_6,cc_145(5),2022-08-03,6m,jail-consecutive,,,
2023mbpc67_1,cc_151,2023-12-05,18m,jail-consecutive,2y-probation,,
2023mbpc64_1,cc_271#a,2019-08-01&2019-08-30,3y,jail-consecutive,,,
2023mbpc63_1,cc_349,2022-04-23,729d,cso-consecutive,2y-probation,,
2023mbpc63_2,cc_266,2022-04-23,729d,cso-concurrent,2y-probation,,
2023mbpc63_3,cc_334(b),2022-04-23,729d,cso-concurrent,2y-probation,,
2023mbpc61_1,cc_320.14(3)#1,2022-04-30,6y,jail-consecutive,,,
2023mbpc61_2,cc_320.16(3)#1,2022-04-30,1y,jail-concurrent,,,
2023mbpc60_1,cc_139(2),2022-05-01,6m,cso-consecutive,,,
2023mbpc50_1,cc_151,2018-11-22,4y,jail-consecutive,,,
2023mbpc53_1,cc_267(a),2022-03-27,270d,jail-consecutive,,,
2023mbpc53_2,cc_334(a),2022-03-27,270d,jail-concurrent,,,
2023mbpc53_3,cc_145(5),2022-03-27&2022-03-28,30d,jail-concurrent,,,
2023mbpc53_4,cc_266,2022-04-07,180d,jail-concurrent,,,
2023mbpc53_5,cc_264.1(1)(a),2022-04-07,180d,jail-concurrent,,,
2023mbpc53_6,cc_145(5),2022-04-07,30d,jail-concurrent,,,
2023mbpc53_7,cc_264.1(1)(a),2022-04-07,90d,jail-consecutive,,,
2023mbpc53_8,cc_145(5),2022-04-17&2022-04-20,180d,jail-consecutive,,,
2023mbpc53_9,cc_145(5),2022-04-17&2022-04-20,180d,jail-concurrent,,,
2023mbpc53_10,cc_145(5),2022-04-17&2022-04-20,180d,jail-concurrent,,,
2023mbpc53_11,cc_145(5),2022-04-17&2022-04-20,180d,jail-concurrent,,,
2023mbpc53_12,cc_145(5),2022-04-17&2022-04-20,180d,jail-concurrent,,,
2023mbpc53_13,cc_145(5),2022-04-17&2022-04-20,180d,jail-concurrent,,,
2023mbpc53_14,cc_145(5),2022-04-17&2022-04-20,180d,jail-concurrent,,,
2023mbpc53_15,cc_145(5),2022-04-17&2022-04-20,180d,jail-concurrent,,,
2023mbpc53_16,cc_145(5),2022-04-17&2022-04-20,180d,jail-concurrent,,,
2023mbpc53_17,cc_267(b),2022-04-07,365d,jail-consecutive,,,
2023mbpc53_18,cc_267(c),2022-04-07,180d,jail-concurrent,,,
2023mbpc53_19,cc_264.1(1)(a),2022-04-07,180d,jail-concurrent,,,
2023mbpc53_20,cc_145(5),2022-04-24,90d,jail-consecutive,,,
2023mbpc53_21,cc_145(5),2022-04-24,90d,jail-concurrent,,,
2023mbpc53_22,cc_145(5),2022-04-24,90d,jail-concurrent,,,
2023mbpc53_23,cc_145(5),2022-04-24,90d,jail-concurrent,,,
2023mbpc52_1,cc_163.1(4)_ycja,2018-09-01&2020-08-19,,,2y-probation,,
2023mbpc52_2,cc_163.1(2)_ycja,2019-04-13&2019-08-01,,,2y-probation,,
2023mbpc47_1,cc_151,2020-10-04&2020-10-06,5y,jail-consecutive,,,
2023mbpc47_2,cc_145(5),2020-08-01&2020-12-30,60d,jail-concurrent,,,
2023mbpc47_3,cc_145(5),2020-08-01&2020-12-30,60d,jail-concurrent,,,
2023mbpc47_4,cc_145(5),2020-08-01&2020-12-30,60d,jail-concurrent,,,
2023mbpc42_1,cc_172.1,2023-08-21,12m,cso-consecutive,2y-probation,,
2023mbpc42_2,cc_145(4),2023-08-21,1d,cso-concurrent,,,
2023mbpc42_3,cc_145(4),2023-08-21,1d,cso-concurrent,,,
