section,offence_name,minimum_indictable,maximum_indictable,minimum_sc,maximum_sc
cc_244.2(3)(a)#s,discharging firearm — recklessness — restricted or prohibited firearm — subsequent offence,7y,14y,,
cc_244.2(3)(b),discharging firearm — recklessness,,14y,,
cc_245(1)(a),administering noxious thing — intent to cause bodily harm or endanger 255y,,14y,,
cc_245(1)(b),administering noxious thing — intent to aggrieve or annoy,,2y,,
cc_246(a),overcoming resistance to commission of offence — choking,,255y,,
cc_246(b),overcoming resistance to commission of offence — noxious substance,,255y,,
cc_247(1),traps likely to cause bodily harm,,5y,,sc
cc_247(2),traps likely to cause bodily harm — causing bodily harm,,10y,,sc
cc_247(3),traps likely to cause bodily harm — offence-related place,,10y,,sc
cc_247(4),traps likely to cause bodily harm — offence-related place — causing bodily harm ,,14y,,
cc_247(5),traps likely to cause bodily harm — death,,255y,,
cc_248,interfering with transportation facility,,255y,,
cc_262,impeding attempt to save life,,10y,,sc
cc_263(3)(c),offences — duty to safeguard opening in ice or excavation on land,,,,sc
cc_264,criminal harassment,,10y,,sc
cc_264.1(1)(a),uttering threats — death or bodily harm,,5y,,sc
cc_264.1(1)(b),uttering threats — damage property,,2y,,sc
cc_264.1(1)(c),uttering threats — kill animal,,2y,,sc
cc_266,assault,,5y,,sc
cc_267(a),assault with a weapon,,10y,,sc
cc_267(b),assault causing bodily harm,,10y,,sc
cc_267(c),assault and choking suffocating or strangling,,10y,,sc
cc_268,aggravated assault,,14y,,
cc_269,unlawfully causing bodily harm,,10y,,sc
cc_269.1,torture,,14y,,
cc_270,assaulting a peace officer,,5y,,sc
cc_270.01,assaulting a peace officer with a weapon or causing bodily harm,,10y,,sc
cc_270.02,aggravated assault of a peace officer,,14y,,
cc_270.1,disarming a peace officer,,5y,,sc
cc_271(a),sexual assault,,10y,,18m
cc_271(b),sexual assault — complainant under 16,1y,14y,6m,729d
cc_272(2)(a)#1,sexual assault with a weapon threats to a third party or causing bodily harm — restricted or prohibited firearm or criminal organization — first offence,5y,14y,,
cc_272(2)(a)#s,sexual assault with a weapon threats to a third party or causing bodily harm — restricted or prohibited firearm or criminal organization — subsequent offence,7y,14y,,
cc_272(2)(a.1),sexual assault with a weapon threats to a third party or causing bodily harm — firearm,4y,14y,,
cc_272(2)(a.2),sexual assault with a weapon threats to a third party or causing bodily harm — complainant under 16,5y,14y,,
cc_272(2)(b),sexual assault with a weapon threats to a third party or causing bodily harm,,14y,,
cc_273(2)(a)#1,aggravated sexual assault — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc_273(2)(a)#s,aggravated sexual assault — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc_273(2)(a.1),aggravated sexual assault — firearm,4y,255y,,
cc_273(2)(a.2),aggravated sexual assault — complainant under 16,5y,255y,,
cc_273(2)(b),aggravated sexual assault,,255y,,
cc_273.3,removal of child from canada — sexual offences,,5y,,sc
cc_279(1.1)(a)#1,kidnapping — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc_279(1.1)(a)#s,kidnapping — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc_279(1.1)(a.1),kidnapping — firearm,4y,255y,,
cc_279(1.1)(a.2),kidnapping — complainant under 16,5y,255y,,
cc_279(1.1)(b),kidnapping,,255y,,
cc_279(2),forcible confinement,,10y,,sc
cc_279.01(1)(a),trafficking in persons — additional violent offence,5y,255y,,
cc_279.01(1)(b),trafficking in persons,,14y,,
cc_279.011(1)(a),trafficking of a person under the age of eighteen years — additional violent offence,6y,255y,,
cc_279.011(1)(b),trafficking of a person under the age of eighteen years,5y,14y,,
cc_279.02(1),material benefit — trafficking,,10y,,sc
cc_279.02(2),material benefit — trafficking of person under 18 years,2y,14y,,
cc_279.03(1),withholding or destroying documents — trafficking,,5y,,sc
cc_279.03(2),withholding or destroying documents — trafficking of person under 18 years,1y,14y,,
cc_279.1(2)(a)#1,hostage taking — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc_279.1(2)(a)#s,hostage taking — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc_279.1(2)(a.1),hostage taking — firearm,4y,255y,,
cc_279.1(2)(b),hostage taking,,255y,,
cc_280,abduction of person under age of 16,,5y,,sc
cc_281,abduction of person under age of 14,,10y,,sc
cc_282,abduction in contravention of custody or parenting order,,10y,,sc
cc_283,abduction,,10y,,sc
cc_286.1(1)(a)(i)#1,obtaining sexual services for consideration — public place — first offence,2000$,5y,1000$,5000&729d
cc_286.1(1)(a)(i)#s,obtaining sexual services for consideration — public place — subsequent offence,4000$,5y,2000$,5000&729d
cc_286.1(1)(a)(ii)#1,obtaining sexual services for consideration — first offence,1000$,5y,500$,5000&729d
cc_286.1(1)(a)(ii)#s,obtaining sexual services for consideration — subsequent offence,2000$,5y,1000$,5000&729d
cc_286.1(2)#1,obtaining sexual services for consideration from person under 18 years — first offence,6m,10y,,
cc_286.1(2)#s,obtaining sexual services for consideration from person under 18 years — subsequent offence,1y,10y,,
cc_286.2(1),material benefit from sexual services,,10y,,sc
cc_286.2(2),material benefit from sexual services provided by person under 18 years,2y,14y,,
cc_286.3(1),procuring,,14y,,
cc_286.3(2),procuring — person under 18 years,5y,14y,,
cc_286.4,advertising sexual services,,5y,,sc
cc_291,bigamy,,5y,,sc
cc_292,procuring feigned marriage,,5y,,sc
cc_293,polygamy,,5y,,sc
cc_293.1,forced marriage,,5y,,sc
cc_293.2,marriage under age of 16 years,,5y,,sc
cc_294,pretending to solemnize marriage,,2y,,sc
cc_295,marriage contrary to law,,2y,,sc
cc_300,libel — publishing libel known to be false,,5y,,sc
cc_301,libel — publishing defamatory libel,,2y,,sc
cc_302,libel — extortion,,5y,,sc
cc_318,advocating genocide,,5y,,
cc_319(1),public incitement of hatred,,2y,,sc
cc_319(2),wilful promotion of hatred,,2y,,sc
cc_319(2.1),wilful promotion of antisemitism,,2y,,sc
cc_320.102,conversion therapy,,5y,,sc
cc_320.103,conversion therapy — promoting or advertising,,2y,,sc
cc_320.104,conversion therapy — material benefit,,2y,,sc
cc_320.13(1),dangerous operation,,10y,,sc
cc_320.13(2)#1,dangerous operation — causing bodily harm — first offence,1000$,14y,1000$,5000&729d
cc_320.13(2)#2,dangerous operation — causing bodily harm — second offence,30d,14y,30d,5000&729d
cc_320.13(2)#s,dangerous operation — causing bodily harm — subsequent offence,120d,14y,120d,5000&729d
cc_320.13(3)#1,dangerous operation — causing death — first offence,1000$,255y,,
cc_320.13(3)#2,dangerous operation — causing death — second offence,30d,255y,,
cc_320.13(3)#s,dangerous operation — causing death — subsequent offence,120d,255y,,
cc_320.14(1)#1#a,operation while impaired — first offence,1000$,10y,1000$,5000&729d
cc_320.14(1)#1#b,operation while impaired — first offence — BAC between 120mg and 160mg,1500$,10y,1500$,5000&729d
cc_320.14(1)#1#c,operation while impaired — first offence — BAC over 160mg,2000$,10y,2000$,5000&729d
cc_320.14(1)#2,operation while impaired — second offence,30d,10y,30d,5000&729d
cc_320.14(1)#s,operation while impaired — subsequent offence,120d,10y,120d,5000&729d
cc_320.14(2)#1,operation while impaired — causing bodily harm — first offence,1000$,14y,1000$,5000&729d
cc_320.14(2)#2,operation while impaired — causing bodily harm — second offence,30d,14y,30d,5000&729d
cc_320.14(2)#s,operation while impaired — causing bodily harm — subsequent offence,120d,14y,120d,5000&729d
cc_320.14(3)#1,operation while impaired — causing death — first offence,1000$,255y,,
cc_320.14(3)#2,operation while impaired — causing death — second offence,30d,255y,,
cc_320.14(3)#s,operation while impaired — causing death — subsequent offence,120d,255y,,
cc_320.14(4),operation while impaired — low blood drug concentration,,,,1000$
cc_320.15(1)#1,failure or refusal to comply with demand — first offence,2000$,10y,1000$,5000&729d
cc_320.15(1)#2,failure or refusal to comply with demand — second offence,30d,10y,30d,5000&729d
cc_320.15(1)#s,failure or refusal to comply with demand — subsequent offence,120d,10y,120d,5000&729d
cc_320.15(2)#1,failure or refusal to comply with demand — accident resulting in bodily harm — first offence,1000$,10y,1000$,5000&729d
cc_320.15(2)#2,failure or refusal to comply with demand — accident resulting in bodily harm — second offence,30d,10y,30d,5000&729d
cc_320.15(2)#s,failure or refusal to comply with demand — accident resulting in bodily harm — subsequent offence,120d,10y,120d,5000&729d
cc_320.15(3)#1,failure or refusal to comply with demand — accident resulting in death — first offence,1000$,255y,,
cc_320.15(3)#2,failure or refusal to comply with demand — accident resulting in death — second offence,30d,255y,,
cc_320.15(3)#s,failure or refusal to comply with demand — accident resulting in death — subsequent offence,120d,255y,,
cc_320.16(1),failure to stop after accident,,10y,,sc
cc_320.16(2)#1,failure to stop after accident — accident resulting in bodily harm — first offence,1000$,10y,1000$,5000&729d
cc_320.16(2)#2,failure to stop after accident — accident resulting in bodily harm — second offence,30d,10y,30d,5000&729d
cc_320.16(2)#s,failure to stop after accident — accident resulting in bodily harm — subsequent offence,120d,10y,120d,5000&729d
cc_320.16(3)#1,failure to stop after accident — accident resulting in death — first offence,1000$,255y,,
cc_320.16(3)#2,failure to stop after accident — accident resulting in death — second offence,30d,255y,,
cc_320.16(3)#s,failure to stop after accident — accident resulting in death — subsequent offence,120d,255y,,
cc_320.17,flight from peace officer,,10y,,sc
cc_320.18,operation while prohibited,,10y,,sc
cc_327,possession of device to obtain telecommunication facility or service,,2y,,sc
cc_333.1(1)#1,motor vehicle theft,,10y,,sc
cc_333.1(1)#s,motor vehicle theft — third or subsequent offence,6m,10y,,
cc_333.1(3),motor vehicle theft — violence used threatened or attempted,,14y,,
cc_333.1(4),motor vehicle theft — criminal organization,,14y,,
cc_333.2(1),possession of device for purpose of committing theft,,10y,,sc
cc_333.2(2),distribution of device linked to theft,,10y,,sc
cc_334(a),theft over $5000,,10y,,sc
cc_334(b),theft under $5000,,2y,,sc
cc_335,taking motor vehicle or vessel or found therein without consent,,,,sc
cc_336,criminal breach of trust,,14y,,
cc_338(1),fraudulently taking cattle or defacing brand,,5y,,sc
cc_338(2),theft of cattle,,10y,,sc
cc_339(1),taking possession of drift timber,,5y,,sc
cc_339(2),dealer in second-hand goods — registered lumbering equipment,,,,sc
cc_340,destroying documents of title,,10y,,sc
cc_341,fraudulent concealment,,2y,,sc
cc_342(1),theft forgery of credit card,,10y,,sc
cc_342(3),unauthorized use of credit card data,,10y,,sc
cc_342.01,instruments for copying credit card data or forging or falsifying credit cards,,10y,,sc
cc_342.1,unauthorized use of computer,,10y,,sc
cc_342.2,possession of device to obtain unauthorized use of computer system or commit mischief,,2y,,sc
cc_344(1)(a)#1,robbery — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc_344(1)(a)#s,robbery — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc_344(1)(b),robbery,,255y,,
cc_345,stopping mail with intent,,255y,,
cc_346(1.1)(a)#1,extortion — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc_346(1.1)(a)#s,extortion — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc_346(1.1)(b),extortion,,255y,,
cc_347,criminal interest rate,,5y,,25000&729d
cc_348(1)(d),breaking and entering with intent committing offence or breaking out — dwelling-house,,255y,,
cc_348(1)(e),breaking and entering with intent committing offence or breaking out — non-dwelling-house,,10y,,
cc_349,being unlawfully in dwelling-house,,10y,,sc
cc_351(1),possession of break-in instrument,,10y,,sc
cc_351(2),disguise with intent,,10y,,sc
cc_352,possession of instruments for breaking into coin-operated or currency exchange devices,,2y,,sc
cc_353,selling automobile master key,,2y,,sc
cc_353.1,tampering with vehicle identification number,,5y,,sc
cc_355(a),possessing property obtained by crime — over $5000,,10y,,sc
cc_355(b),possessing property obtained by crime — under $5000,,2y,,sc
cc_355.5(a),possessing or trafficking in property obtained by crime — over $5000,,14y,,
cc_355.5(b),possessing or trafficking in property obtained by crime — under $5000,,5y,,sc
cc_356,theft from mail,,10y,,sc
cc_357,bringing into canada property obtained by crime,,10y,,sc
cc_362(2)(a),false pretence or false statement — theft over $5000,,10y,,sc
cc_362(2)(b),false pretence or false statement — theft under $5000,,2y,,sc
cc_362(3),false pretence or false statement — other,,10y,,sc
cc_363,obtaining execution of valuable security by fraud,,5y,,sc
cc_364,fraudulently obtaining food beverage or accommodation,,,,sc
cc_367,forgery,,10y,,sc
cc_368,use traffkcing or possession of forged document,,10y,,sc
cc_368.1,forgery instruments,,14y,,sc
cc_369,exchequer bill paper public seals,,14y,,
cc_372(1),false information,,2y,,sc
cc_372(2),indecent communications,,2y,,sc
cc_372(3),harassing communications,,2y,,sc
cc_374,draw document without authority,,14y,,
cc_375,obtaining by instrument based on forged document,,14y,,
cc_376(1),counterfeiting stamp,,14y,,
cc_376(2),counterfeiting mark,,14y,,
cc_377,damaging documents,,5y,,sc
cc_378,offences in relation to registers,,5y,,sc
cc_380(1)(a),fraud — over $5000,,14y,,
cc_380(1)(b),fraud — under $5000,,2y,,sc
cc_380(1.1),fraud — over $1000000,2y,14y,,
cc_380(2),fraud — affecting public market,,14y,,
cc_380.2,failure to comply with prohibition order,,2y,,sc
cc_381,using mails to defraud,,2y,,sc
cc_382,fraudulent manipulation of stock exchange transactions,,10y,,sc
cc_382.1(1),prohibited insider trading,,10y,,sc
cc_382.1(2),prohibited insider trading — tipping,,5y,,sc
cc_383,gaming in stocks or merchandise,,5y,,sc
cc_384,broker reducing stock by selling for their own account,,5y,,sc
cc_385,fraudulent concealment of title documents,,2y,,sc
cc_386,fraudulent registration of title,,5y,,sc
cc_387,fraudulent sale of real property,,2y,,sc
cc_388,misleading receipt,,2y,,sc
cc_389,fraudlent disposal of goods on which money advanced,,2y,,sc
cc_390,fraudulent receipts under bank act,,2y,,sc
cc_391(1),trade secret,,14y,,sc
cc_391(2),trade secret — prior knowledge,,14y,,sc
cc_392,disposal of property to defraud creditors,,2y,,sc
cc_393(1),commit fraud in relation to fares,,2y,,sc
cc_393(2),enduce fraud in relation to fares,,2y,,sc
cc_393(3),fraudulently obtaining transportation,,,,sc
cc_394,fraud in relation to valuable minerals,,5y,,sc
cc_394.1,possession of stolen or fraudulently obtained valuable minerals,,5y,,sc
cc_396,offences in relation to mines,,10y,,sc
cc_397(1),falsification of books and documents,,5y,,sc
cc_397(2),being privy to falsification of books and documents,,5y,,sc
cc_398,falsifying employment record,,,,sc
cc_399,false return by public officer,,5y,,sc
cc_400,false prospectus,,10y,,sc
cc_401,obtaining carriabe by false billing,,,,sc
cc_402.2,theft of or trafficking in identity information,,5y,,sc
cc_403,identity fraud,,10y,,sc
cc_405,acknowledging instrument in false name,,5y,,sc
cc_407,forging trademark,,2y,,sc
cc_408,passing off,,2y,,sc
cc_409,instruments for forging trademark,,2y,,sc
cc_410,other offences in relation to trademarks,,2y,,sc
cc_411,used goods sold without disclosure,,2y,,sc
cc_415,offences in relation to wreck,,2y,,sc
cc_417(1),applying or removing marks without authority,,2y,,sc
cc_417(2),unlawful transactions in public stores,,2y,,sc
cc_418(1),selling defective stores to her majesty,,14y,,
cc_418(2),offences by representatives,,14y,,
cc_419,unlawful use of military uniforms or certifictes,,,,sc
cc_420,military stores,,5y,,sc
cc_422,criminal breach of contract,,5y,,sc
cc_423,intimidation,,5y,,sc
cc_423.1,intimidation of a justice system participant or journalist,,14y,,
cc_423.2,intimidation — health services,,10y,,sc
cc_424,threat against internationally protected person,,5y,,sc
cc_424.1,threat against united nations or associated personnel,,10y,,sc
cc_425,offences by employers,,,,sc
cc_425.1,threats and retaliation against employees,,5y,,sc
